Name,Email Address,Address ,Country,Job Title,Phone Number,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Extra ,Aggregate,Billing Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Bryce Stark,Bryce_Stark7931@jiman.org,"Unwin  Alley, 6391 Phoenix",Tajikistan,Call Center Representative,8760985251,Fruits,Offline,M,7/27/2012,443368995,7/28/2012,1000,14862.69,7/28/2012,1593,9.33,6.92,14862.69,11023.56,3839.13
Ronald Yoman,Ronald_Yoman1711@brety.org,"Birkbeck  Hill, 6425 Paris",Guyana,Fabricator,9957091491,Clothes,Online,M,9/14/2013,667593514,10/19/2013,1001,503890.08,10/19/2013,4611,109.28,35.84,503890.08,165258.24,338631.84
Cedrick Nash,Cedrick_Nash8140@nickia.com,"Burton  Avenue, 7615 London",Kosovo,Treasurer,8105200002,Meat,Offline,M,5/15/2015,940995585,6/4/2015,1002,151880.4,6/4/2015,360,421.89,364.69,151880.4,131288.4,20592
Trisha Moore,Trisha_Moore6136@gompie.com,"Bermondsey    Pass, 4888 Otawa",Benin,Physician,6721994504,Clothes,Offline,H,5/17/2017,880811536,7/2/2017,1003,61415.36,7/2/2017,562,109.28,35.84,61415.36,20142.08,41273.28
Owen Anderson,Owen_Anderson9649@gembat.biz,"Black Friars   Rue, 4615 Hollywood",Cameroon,Front Desk Coordinator,8808971028,Beverages,Offline,L,10/26/2016,174590194,12/4/2016,1004,188518.85,12/4/2016,3973,47.45,31.79,188518.85,126301.67,62217.18
Aleksandra Spencer,Aleksandra_Spencer2376@irrepsy.com,"Linda Lane Walk, 1666 Fayetteville",Finland,Cash Manager,8741000652,Fruits,Online,L,11/7/2011,830192887,12/18/2011,1005,12866.07,12/18/2011,1379,9.33,6.92,12866.07,9542.68,3323.39
Joy Collingwood,Joy_Collingwood1530@sveldo.biz,"Earl Rise Walk, 9364 Honolulu",Greece,Health Educator,9698005702,Beverages,Online,M,1/18/2013,425793445,2/16/2013,1006,28327.65,2/16/2013,597,47.45,31.79,28327.65,18978.63,9349.02
Kaylee Jefferson,Kaylee_Jefferson4952@deavo.com,"Birkin   Boulevard, 979 Los Angeles",Saint Vincent and the Grenadines,Healthcare Specialist,9665926938,Beverages,Online,L,11/30/2016,659878194,1/16/2017,1007,70036.2,1/16/2017,1476,47.45,31.79,70036.2,46922.04,23114.16
Nicholas Pickard,Nicholas_Pickard9427@ubusive.com,"Bloomsbury  Rue, 6951 Fullerton",Switzerland,HR Specialist,7359207916,Office Supplies,Online,L,3/23/2017,601245963,4/15/2017,1008,583484.16,4/15/2017,896,651.21,524.96,583484.16,470364.16,113120
Peyton Clark,Peyton_Clark2286@dionrab.com,"Heritage Road, 6869 Salem",Poland,Treasurer,8624882571,Cosmetics,Offline,L,5/23/2016,739008080,5/24/2016,1009,3396169.6,5/24/2016,7768,437.2,263.33,3396169.6,2045547.44,1350622.16
Fred Lyon,Fred_Lyon3255@infotech44.tech,"Underwood  Pass, 8360 Charlotte",,Call Center Representative,8935189582,Fruits,Offline,M,2/9/2014,732588374,2/23/2014,1010,74957.22,2/23/2014,8034,9.33,6.92,74957.22,55595.28,19361.94
Clint Hammond,Clint_Hammond1197@nanoff.biz,"Linden Grove, 2386 Houston",Macedonia,Software Engineer,7866232105,Cosmetics,Online,M,2/18/2011,761723172,2/24/2011,1011,4227286.8,2/24/2011,9669,437.2,263.33,4227286.8,2546137.77,1681149.03
Jules Wright,Jules_Wright6963@irrepsy.com,"Maple Boulevard, 686 Lisbon",,Treasurer,9077259575,Snacks,Online,C,1/28/2013,176461303,2/7/2013,1012,1171204.08,2/7/2013,7676,152.58,97.44,1171204.08,747949.44,423254.64
Ivy Hamilton,Ivy_Hamilton8120@fuliss.net,"Collins  Route, 9646 Nashville",Benin,Chef Manager,6360460366,Clothes,Offline,L,6/20/2011,647164094,7/14/2011,1013,993573.76,7/14/2011,9092,109.28,35.84,993573.76,325857.28,667716.48
Eden Whittle,Eden_Whittle8037@ovock.tech,"Aspen Pass, 2240 Laredo",Vanuatu,CNC Operator,8987895914,Personal Care,Online,M,4/4/2010,314505374,5/6/2010,1014,652532.32,5/6/2010,7984,81.73,56.67,652532.32,452453.28,200079.04
Cedrick Ashwell,Cedrick_Ashwell6431@jiman.org,"Edwin   Pass, 5293 Orlando",Bangladesh,Banker,7785303854,Personal Care,Online,M,6/19/2014,539471471,7/21/2014,1015,36860.23,7/21/2014,451,81.73,56.67,36860.23,25558.17,11302.06
Maddison Yates,Maddison_Yates7962@gmail.com,"Arthur  Vale, 8460 Madison",Egypt,Restaurant Manager,7040411621,Office Supplies,Offline,C,3/28/2011,953361213,4/8/2011,1016,6266593.83,4/8/2011,9623,651.21,524.96,6266593.83,5051690.08,1214903.75
Sydney Carter,Sydney_Carter4108@nickia.com,"Ellerslie Grove, 3373 San Diego",San Marino,Healthcare Specialist,8219332446,Cosmetics,Online,M,7/7/2011,807785928,7/25/2011,1017,289426.4,7/25/2011,662,437.2,263.33,289426.4,174324.46,115101.94
Julian Mcleod,Julian_Mcleod4166@gmail.com,"Cavell   Hill, 2356 Prague",Belarus,Lecturer,9310962104,Cosmetics,Online,M,12/7/2015,324669444,1/18/2016,1018,2517397.6,1/18/2016,5758,437.2,263.33,2517397.6,1516254.14,1001143.46
Lillian Harrison,Lillian_Harrison518@atink.com,"Hickory Lane Grove, 1024 Ontario",Jordan,Designer,8311623602,Personal Care,Online,C,1/19/2011,246248090,2/21/2011,1019,746767.01,2/21/2011,9137,81.73,56.67,746767.01,517793.79,228973.22
Tiffany Matthews,Tiffany_Matthews5244@zorer.org,"Wakley   Rue, 710 Albuquerque",Colombia,Clerk,8374879835,Office Supplies,Online,C,12/31/2010,485070693,1/31/2011,1020,1336282.92,1/31/2011,2052,651.21,524.96,1336282.92,1077217.92,259065
Aiden Stevens,Aiden_Stevens3669@ovock.tech,"Littlebury  Road, 2849 Oakland",Saint Lucia,Treasurer,6200106813,Household,Online,C,10/28/2015,573998582,12/7/2015,1021,5206491.57,12/7/2015,7791,668.27,502.54,5206491.57,3915289.14,1291202.43
Keira Vallory,Keira_Vallory2182,"Ellerman   Drive, 8933 Huntsville",Maldives,Web Developer,6243814990,Vegetables,Online,M,4/13/2015,116205585,6/2/2015,1022,1027580.2,6/2/2015,6670,154.06,90.93,1027580.2,606503.1,421077.1
Chester Shaw,Chester_Shaw7749,"Hamilton  Route, 5659 Oklahoma City","Sudan, South",Associate Professor,8414347505,Cosmetics,Online,L,5/1/2015,135178029,5/16/2015,1023,453813.6,5/16/2015,1038,437.2,263.33,453813.6,273336.54,180477.06
Teagan Powell,Teagan_Powell269,"Arundel   Avenue, 482 Albuquerque",Germany,Banker,7998794194,Baby Food,Offline,H,8/25/2011,824714744,9/24/2011,1024,69946.72,9/24/2011,274,255.28,159.42,69946.72,43681.08,26265.64
Luke Glass,Luke_Glass8190,"Magnolia Pass, 973 Toledo",Germany,Banker,7340880123,Office Supplies,Online,M,2/10/2016,198927056,3/29/2016,1025,3771157.11,3/29/2016,5791,651.21,524.96,3771157.11,3040043.36,731113.75
Zara Addis,Zara_Addis5536,"Pine Crossroad, 8848 Lisbon",Benin,Mobile Developer,6426478704,Cosmetics,Online,M,2/28/2015,842238795,3/15/2015,1026,2636753.2,3/15/2015,6031,437.2,263.33,2636753.2,1588143.23,1048609.97
Goldie Lewis,Goldie_Lewis5231,"Queensberry  Grove, 3693 Saint Paul",Saudi Arabia,Design Engineer,6899347118,Household,Offline,C,6/13/2011,459386289,7/21/2011,1027,979683.82,7/21/2011,1466,668.27,502.54,979683.82,736723.64,242960.18
Wade Wilton,Wade_Wilton7049,"Comet House  Crossroad, 8097 Laredo",South Africa,Lecturer,8284146253,Office Supplies,Online,M,6/23/2012,425418365,7/6/2012,1028,6253569.63,7/6/2012,9603,651.21,524.96,6253569.63,5041190.88,1212378.75
Gil Hogg,Gil_Hogg1602@liret.org,"Apothecary   Grove, 1984 Huntsville",Tonga,Biologist,7016381302,Household,Offline,H,9/1/2011,835696351,10/21/2011,1029,6666661.52,10/21/2011,9976,668.27,502.54,6666661.52,5013339.04,1653322.48
Henry Ellwood,Henry_Ellwood7217@twace.org,"Callcott   Way, 6616 Quebec",Malta,Stockbroker,9233586630,Beverages,Online,M,11/13/2014,955894076,12/28/2014,1030,434357.3,12/28/2014,9154,47.45,31.79,434357.3,291005.66,143351.64
Esmeralda Turner,Esmeralda_Turner1574@irrepsy.com,"Blore  Tunnel, 275 Springfield",China,Staffing Consultant,9850944032,Fruits,Online,C,11/3/2013,571997869,11/11/2013,1031,53507.55,11/11/2013,5735,9.33,6.92,53507.55,39686.2,13821.35
Ronald Hastings,Ronald_Hastings833@elnee.tech,"Eldon  Alley, 9216 Denver",Austria,Clerk,9234537408,Snacks,Online,L,10/10/2012,440306556,11/20/2012,1032,816150.42,11/20/2012,5349,152.58,97.44,816150.42,521206.56,294943.86
Lucas Jackson,Lucas_Jackson2685@bretoux.com,"Monroe Lane, 1885 Kansas City",Indonesia,CNC Operator,6816662434,Household,Online,L,12/5/2016,937431466,12/8/2016,1033,3780403.39,12/8/2016,5657,668.27,502.54,3780403.39,2842868.78,937534.61
Logan Dubois,Logan_Dubois5135@dionrab.com,"Kimberley  Route, 9079 Berna",Sudan,Auditor,6719137891,Snacks,Online,L,9/8/2013,710296428,10/25/2013,1034,206288.16,10/25/2013,1352,152.58,97.44,206288.16,131738.88,74549.28
Martha Mcleod,Martha_Mcleod6942@yahoo.com,"Birkenhead   Pass, 5922 Stockton",Cuba,Paramedic,7447263547,Cosmetics,Online,H,3/22/2014,726137769,4/26/2014,1035,4003440.4,4/26/2014,9157,437.2,263.33,4003440.4,2411312.81,1592127.59
Georgia Collis,Georgia_Collis8353@tonsy.org,"Battis   Crossroad, 1210 Milano",Benin,Front Desk Coordinator,9887949902,Personal Care,Online,H,11/1/2011,222504317,11/20/2011,1036,231050.71,11/20/2011,2827,81.73,56.67,231050.71,160206.09,70844.62
Barney Todd,Barney_Todd3002@bulaffy.com,"Woodland Vale, 5267 Reno",Denmark,Treasurer,7074421807,Household,Offline,H,1/15/2016,757257401,1/31/2016,1037,5445063.96,1/31/2016,8148,668.27,502.54,5445063.96,4094695.92,1350368.04
Bob Calderwood,Bob_Calderwood8389@vetan.org,"Argyle  Route, 4768 Richmond",Germany,Bookkeeper,8721909871,Cosmetics,Online,H,11/29/2010,358570849,12/28/2010,1038,3470056.4,12/28/2010,7937,437.2,263.33,3470056.4,2090050.21,1380006.19
Jocelyn Campbell,Jocelyn_Campbell2681@liret.org,"Paris   Way, 555 Denver",United Kingdom,Design Engineer,8120548776,Household,Offline,C,11/19/2011,274930989,12/13/2011,1039,4707293.88,12/13/2011,7044,668.27,502.54,4707293.88,3539891.76,1167402.12
Johnathan Pratt,Johnathan_Pratt2477@brety.org,"Dunton  Crossroad, 4224 Fort Lauderdale",Netherlands,Laboratory Technician,6936135545,Clothes,Offline,L,7/6/2016,925136649,7/13/2016,1040,802989.44,7/13/2016,7348,109.28,35.84,802989.44,263352.32,539637.12
Marina Vane,Marina_Vane129@acrit.org,"Black Friars   Grove, 7338 Richmond",Côte d’Ivoire,Executive Director,6590963743,Clothes,Offline,L,11/11/2015,548299157,12/28/2015,1041,301612.8,12/28/2015,2760,109.28,35.84,301612.8,98918.4,202694.4
Beatrice Kelly,Beatrice_Kelly2000@muall.tech,"Canning  Grove, 8820 Louisville",Mauritania,Restaurant Manager,7770161874,Cereal,Offline,L,5/28/2013,153842341,7/16/2013,1042,868465.4,7/16/2013,4222,205.7,117.11,868465.4,494438.42,374026.98
Phoebe Ross,Phoebe_Ross5059@gmail.com,"Shepherds  Walk, 6069 Fremont",Thailand,Dentist,9972632893,Beverages,Offline,H,9/8/2013,371502530,10/13/2013,1043,223442.05,10/13/2013,4709,47.45,31.79,223442.05,149699.11,73742.94
Maya Harrison,Maya_Harrison5531@gembat.biz,"Collins  Avenue, 6023 Long Beach",Bangladesh,Physician,8662209746,Household,Online,M,12/17/2010,101328551,12/28/2010,1044,2823440.75,12/28/2010,4225,668.27,502.54,2823440.75,2123231.5,700209.25
Jacqueline Bryant,Jacqueline_Bryant165@womeona.net,"Empress  Tunnel, 9535 Boston",Laos,Cook,9723577637,Cosmetics,Online,M,9/8/2015,563681733,9/9/2015,1045,2101183.2,9/9/2015,4806,437.2,263.33,2101183.2,1265563.98,835619.22
Alexander Holt,Alexander_Holt8808@qater.org,"Cephas  Walk, 9482 Innsbruck",Australia,Restaurant Manager,6892214138,Clothes,Offline,M,11/17/2012,349235904,12/2/2012,1046,603225.6,12/2/2012,5520,109.28,35.84,603225.6,197836.8,405388.8
John Mooney,John_Mooney81@deons.tech,"West Vale, 3799 Detroit",Lesotho,Call Center Representative,6574511517,Cosmetics,Online,H,5/9/2011,368977391,6/2/2011,1047,3263260.8,6/2/2011,7464,437.2,263.33,3263260.8,1965495.12,1297765.68
Josh Ross,Josh_Ross9325@acrit.org,"Berriman  Crossroad, 3466 Hollywood",East Timor (Timor-Leste),Cook,9343099659,Meat,Online,L,3/8/2017,704205024,4/18/2017,1048,3699975.3,4/18/2017,8770,421.89,364.69,3699975.3,3198331.3,501644
Nathan Stewart,Nathan_Stewart2466@ubusive.com,"Bayberry Pass, 8104 Stockton",Panama,Project Manager,6532052938,Fruits,Offline,H,10/20/2014,156530129,11/29/2014,1049,89558.67,11/29/2014,9599,9.33,6.92,89558.67,66425.08,23133.59
Mabel Clarke,Mabel_Clarke3164@womeona.net,"South Crossroad, 8267 El Paso",Mauritius,Budget Analyst,7860242988,Meat,Offline,L,3/16/2016,297876536,4/20/2016,1050,3012716.49,4/20/2016,7141,421.89,364.69,3012716.49,2604251.29,408465.2
Nicholas Woods,Nicholas_Woods2826@bungar.biz,"Monroe Rue, 1144 Tallahassee",Ethiopia,Banker,8586115246,Household,Online,C,9/28/2011,520480573,9/28/2011,1051,416332.21,9/28/2011,623,668.27,502.54,416332.21,313082.42,103249.79
Sebastian Anderson,Sebastian_Anderson6546@qater.org,"Blore  Way, 6599 Albuquerque",Eritrea,Accountant,8041044713,Office Supplies,Offline,C,10/2/2011,286891067,10/4/2011,1052,4100669.37,10/4/2011,6297,651.21,524.96,4100669.37,3305673.12,794996.25
Johnny Graham,Johnny_Graham6391@yahoo.com,"Carnegie   Drive, 4764 Cincinnati",Maldives,Retail Trainee,8735451676,Cosmetics,Offline,H,7/1/2012,479969346,7/20/2012,1053,1071140,7/20/2012,2450,437.2,263.33,1071140,645158.5,425981.5
Jack Pickard,Jack_Pickard8236@famism.biz,"Walnut Tunnel, 1417 Memphis",Cyprus,Audiologist,7675696844,Meat,Online,C,2/4/2015,252889239,2/19/2015,1054,1856737.89,2/19/2015,4401,421.89,364.69,1856737.89,1605000.69,251737.2
Eden Bell,Eden_Bell9970@zorer.org,"Besson  Walk, 1887 London",Afghanistan,Clerk,9146581006,Meat,Online,H,2/21/2014,179137074,3/14/2014,1055,4006267.44,3/14/2014,9496,421.89,364.69,4006267.44,3463096.24,543171.2
Percy Flack,Percy_Flack5791@twipet.com,"Jackson Alley, 1356 Fort Lauderdale",Tuvalu,Service Supervisor,6499318195,Clothes,Offline,M,9/4/2016,902511680,9/8/2016,1056,231345.76,9/8/2016,2117,109.28,35.84,231345.76,75873.28,155472.48
Sienna Sheldon,Sienna_Sheldon6208@yahoo.com,"Calvin   Alley, 3786 Reno",Mongolia,Auditor,7710266361,Cereal,Online,H,8/22/2015,887124383,10/8/2015,1057,1784241.8,10/8/2015,8674,205.7,117.11,1784241.8,1015812.14,768429.66
Joseph Briggs,Joseph_Briggs5893@yahoo.com,"Kilner   Drive, 6577 Henderson",Monaco,Designer,6017856702,Beverages,Offline,M,5/29/2016,467399013,6/14/2016,1058,123797.05,6/14/2016,2609,47.45,31.79,123797.05,82940.11,40856.94
