EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,inverstment,MANAGER_ID,DEPARTMENT_ID,,total
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,600,124,50,,2000
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600,500,124,50,,2100
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,4400,4000,101,10,,400
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,MK_MAN,13000,3000,100,20,,10000
202,Pat,Fay,PFAY,603.123.6666,17-Aug-05,MK_REP,6000,2000,201,20,,4000
203,Susan,Mavris,SMAVRIS,515.123.7777,07-Jun-02,HR_REP,6500,500,101,40,,6000
204,Hermann,Baer,HBAER,515.123.8888,07-Jun-02,PR_REP,10000,5000,101,70,,5000
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-Jun-02,AC_MGR,12008,8,101,110,,12000
206,William,Gietz,WGIETZ,515.123.8181,07-Jun-02,AC_ACCOUNT,8300,300,205,110,,8000
100,Steven,King,SKING,515.123.4567,17-Jun-03,AD_PRES,24000,4000, - ,90,,20000
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-Sep-05,AD_VP,17000,3000,100,90,,14000
