first_name,last_name,occupation,income_level,identifier,product_name,product_type,transaction_id,customer_id,product_id,merchant_name,transaction_description,transaction_amount,type_deposit_withdrawal,transaction_date,channel
TADIO,Jansens,Project Manager,High,643-49-5340,Private Car Insurance,motor insurance,3804,383,3024,National Bank,motor insurance Deposit,14961,D,2021-08-09 00:00:00.000,Branch
COURTNAY,Strickett,Project Manager,High,657-06-5812,Platinum Times Card,credit card,6916,469,4790,Leexo,credit card Withdrawal,2303,W,2021-08-09 00:00:00.000,Net Banking
SAM,Devin,Nurse,Low,055-34-7336,Emergency Personal Loan,Personal Loan,1662,832,1522,National Bank,Personal Loan Deposit,11763,D,2021-08-09 00:00:00.000,Branch
CATHYLEEN,Lunbech,Occupational Therapist,High,204-23-4736,Regular Fixed Deposit,fixed deposit,2830,246,4213,National Bank,fixed deposit Deposit,12111,D,2021-08-09 00:00:00.000,Branch
MEAD,Side,Structural Analysis Engineer,Medium,084-04-4503,Life Easy Health,life insurance,4810,175,4339,National Bank,life insurance Deposit,2980,D,2021-08-09 00:00:00.000,Branch
IGNAZ,Bramelt,Research Associate,Low,743-64-5044,Assured Home Loan,home loan,9061,9,517,National Bank,home loan Deposit,14610,D,2021-08-09 00:00:00.000,Branch
CATHYLEEN,Lunbech,Occupational Therapist,High,204-23-4736,Regular Fixed Deposit,fixed deposit,8522,246,4213,National Bank,fixed deposit Deposit,4095,D,2021-08-09 00:00:00.000,Branch
FRANKLYN,Hatherley,Civil Engineer,Medium,927-49-4867,Emergency Personal Loan,Personal Loan,3599,515,3062,National Bank,Personal Loan Deposit,23129,D,2021-08-08 00:00:00.000,Branch
EDSEL,McIlwrick,Health Coach II,High,970-63-3877,New Car Loan,car loan,2505,588,3802,National Bank,car loan Deposit,14337,D,2021-08-08 00:00:00.000,Phone Banking
MONTE,Twinning,Developer II,Low,229-39-9193,Super Saver Facility,fixed deposit,1642,894,3250,National Bank,fixed deposit Deposit,3391,D,2021-08-08 00:00:00.000,Branch
SI,Backshaw,Structural Analysis Engineer,High,775-47-7415,National Home Loan,home loan,10337,454,2261,National Bank,home loan Deposit,9174,D,2021-08-08 00:00:00.000,Branch
FRANKLYN,Hatherley,Civil Engineer,Medium,927-49-4867,Emergency Personal Loan,Personal Loan,9529,515,3062,National Bank,Personal Loan Deposit,9480,D,2021-08-08 00:00:00.000,Branch
KALILA,Sore,Structural Analysis Engineer,Low,561-29-6850,Life Easy Health,life insurance,2806,78,933,National Bank,life insurance Deposit,16132,D,2021-08-08 00:00:00.000,Branch
NEILE,Jantzen,VP Sales,Medium,084-37-7026,Platinum Times Card,credit card,1360,92,745,Twitterbridge,credit card Withdrawal,9739,W,2021-08-08 00:00:00.000,Net Banking
SI,Backshaw,Structural Analysis Engineer,High,775-47-7415,National Home Loan,home loan,10217,454,2261,National Bank,home loan Deposit,10692,D,2021-08-08 00:00:00.000,Branch
EDSEL,McIlwrick,Health Coach II,High,970-63-3877,New Car Loan,car loan,2587,588,3802,National Bank,car loan Deposit,20189,D,2021-08-08 00:00:00.000,Phone Banking
JETH,Woolger,Nurse Practicioner,High,495-47-1468,Critical Illness Platinum,health insurance,8113,31,2470,National Bank,health insurance Deposit,12955,D,2021-08-07 00:00:00.000,Branch
PALM,Catling,Technical Writer,Low,242-30-4328,SavingsMax Account,savings account,2609,33,2433,Viva,current account Withdrawal,10675,W,2021-08-07 00:00:00.000,Net Banking
KIPPIE,Wapplington,Web Developer II,High,789-76-6212,Private Car Insurance,motor insurance,8876,279,2643,National Bank,motor insurance Deposit,2978,D,2021-08-07 00:00:00.000,Branch
PALM,Catling,Technical Writer,Low,242-30-4328,Diners Club Black,credit card,5168,33,1776,Camido,mutual funds Withdrawal,5031,W,2021-08-07 00:00:00.000,Branch
STAFFORD,O'Scollain,Account Coordinator,Low,869-03-5875,Platinum Times Card,Equities,8947,769,2616,Jabbertype,credit card Withdrawal,20759,W,2021-08-07 00:00:00.000,Net Banking
PALM,Catling,Technical Writer,Low,242-30-4328,Diners Club Black,credit card,822,33,1776,Katz,mutual funds Withdrawal,7111,W,2021-08-07 00:00:00.000,Branch
MORT,Lendrem,Civil Engineer,Medium,680-24-7667,SavingsMax Account,savings account,9773,137,4711,Feedmix,current account Withdrawal,8848,W,2021-08-07 00:00:00.000,Net Banking
GIANNA,Trusty,Marketing Assistant,Medium,633-96-8076,New Car Loan,car loan,6164,32,3335,National Bank,car loan Deposit,19971,D,2021-08-07 00:00:00.000,Phone Banking
PALM,Catling,Technical Writer,Low,242-30-4328,Emergency Personal Loan,Personal Loan,5861,33,4754,National Bank,Personal Loan Deposit,7430,D,2021-08-07 00:00:00.000,Branch
JETH,Woolger,Nurse Practicioner,High,495-47-1468,Critical Illness Platinum,health insurance,5727,31,2470,National Bank,health insurance Deposit,1514,D,2021-08-07 00:00:00.000,Branch
ANNIE,Mitskevich,Design Engineer,Medium,475-81-5504,Home Gaurd Insurance,home insurance,5523,122,2596,National Bank,home insurance Deposit,11334,D,2021-08-07 00:00:00.000,Phone Banking
KENDRE,Fearne,Compensation Analyst,High,919-43-5349,Emergency Personal Loan,Personal Loan,10254,833,4808,National Bank,Personal Loan Deposit,20769,D,2021-08-07 00:00:00.000,Branch
KELSY,Prue,Payment Adjustment Coordinator,Low,658-83-5985,Equities,Equities,1224,114,2450,Skimia,Equities Withdrawal,4344,W,2021-08-07 00:00:00.000,Branch
NANA,Gower,Account Representative IV,Low,068-07-3551,Diners Club Black,credit card,4060,3,3196,Devshare,mutual funds Withdrawal,8369,W,2021-08-06 00:00:00.000,Branch
MAX,Tire,Graphic Designer,Medium,722-18-2462,Life Protect Plus Plan,life insurance,3592,631,758,National Bank,life insurance Deposit,13784,D,2021-08-06 00:00:00.000,Branch
WEST,Rojas,Registered Nurse,Medium,623-41-4443,Diners Club Black,credit card,6420,166,1786,Brainbox,credit card Withdrawal,11124,W,2021-08-06 00:00:00.000,Net Banking
TADEO,Conibear,Marketing Manager,High,508-73-7103,Assured Home Loan,home loan,5932,13,3381,National Bank,home loan Deposit,15247,D,2021-08-06 00:00:00.000,Branch
TARRA,Wilkinson,Paralegal,High,363-23-8854,New Car Loan,car loan,10435,717,1738,National Bank,car loan Deposit,20344,D,2021-08-06 00:00:00.000,Phone Banking
NANA,Gower,Account Representative IV,Low,068-07-3551,Life Easy Health,life insurance,2402,3,3940,National Bank,life insurance Deposit,13921,D,2021-08-06 00:00:00.000,Branch
SID,Lumsdaine,Financial Advisor,High,165-31-0791,Life Easy Health,life insurance,4844,142,3976,National Bank,life insurance Deposit,4775,D,2021-08-06 00:00:00.000,Branch
