first_name,last_name,product_name,product_type,sr_id,customer_id,product_id,sr_description,sr_open_date,sr_close_date,sr_type,channel
IGNAZIO,McFarlan,Foreign Education Loan,educational loan,2563,396,690,Foreign Education Loan educational loan Product Support,2021-06-28 00:00:00.000,2021-06-28 00:00:00.000,Product Support,Net Banking
IGNAZIO,McFarlan,Foreign Education Loan,educational loan,775,396,690,Foreign Education Loan educational loan Enquiry,2021-06-28 00:00:00.000,2021-06-28 00:00:00.000,Enquiry,Net Banking
BENDITE,Trynor,Secure Personal Loan,Personal Loan,612,762,1435,Secure Personal Loan Personal Loan Complaint,2021-06-27 00:00:00.000,2021-06-28 00:00:00.000,Complaint,Branch
BENDITE,Trynor,Foreign Education Loan,educational loan,2745,762,4012,Foreign Education Loan educational loan Product Support,2021-06-27 00:00:00.000,2021-06-28 00:00:00.000,Product Support,Branch
ARA,Girault,Ergo Home Insurance,home insurance,958,159,1129,Ergo Home Insurance home insurance Product Support,2021-06-26 00:00:00.000,2021-06-26 00:00:00.000,Product Support,Net Banking
ARA,Girault,Apex Current Account,current account,2729,159,175,SavingsMax Account current account Complaint,2021-06-26 00:00:00.000,2021-06-26 00:00:00.000,Complaint,Phone Banking
FERNANDE,Dowsett,SavingsMax Account,savings account,2115,852,3937,SavingsMax Account savings account Complaint,2021-06-24 00:00:00.000,2021-06-25 00:00:00.000,Complaint,Branch
FERNANDE,Dowsett,Secure Personal Loan,Personal Loan,2662,852,4052,Secure Personal Loan Personal Loan Product Support,2021-06-24 00:00:00.000,2021-06-25 00:00:00.000,Product Support,Net Banking
FERNANDE,Dowsett,Secure Personal Loan,Personal Loan,1769,852,2845,Secure Personal Loan Personal Loan Product Support,2021-06-24 00:00:00.000,2021-06-25 00:00:00.000,Product Support,Phone Banking
KAHLIL,Mitcheson,National Life Cancer Care,life insurance,2390,250,126,National Life Cancer Care life insurance Product Support,2021-06-23 00:00:00.000,2021-06-23 00:00:00.000,Product Support,Phone Banking
KAHLIL,Mitcheson,National Life Cancer Care,life insurance,1132,250,126,National Life Cancer Care life insurance Complaint,2021-06-23 00:00:00.000,2021-06-23 00:00:00.000,Complaint,Net Banking
KAHLIL,Mitcheson,Foreign Education Loan,educational loan,2653,250,50,Foreign Education Loan educational loan Enquiry,2021-06-23 00:00:00.000,2021-06-23 00:00:00.000,Enquiry,Net Banking
KAHLIL,Mitcheson,Foreign Education Loan,educational loan,426,250,50,Foreign Education Loan educational loan Product Support,2021-06-23 00:00:00.000,2021-06-23 00:00:00.000,Product Support,Branch
LIESA,Ramsbotham,Sweep In Facility,fixed deposit,2338,7,2657,Sweep In Facility fixed deposit Enquiry,2021-02-10 00:00:00.000,2021-02-10 00:00:00.000,Enquiry,Net Banking
KARIM,Attrey,Private Car Insurance,motor insurance,1503,608,4011,Private Car Insurance motor insurance Complaint,2021-06-20 00:00:00.000,2021-06-20 00:00:00.000,Complaint,Branch
KRISTOFER,Le Grand,Super Saver Facility,fixed deposit,869,11,1471,Super Saver Facility fixed deposit Enquiry,2021-03-22 00:00:00.000,2021-03-22 00:00:00.000,Enquiry,Phone Banking
KRISTOFER,Le Grand,Super Saver Facility,fixed deposit,281,11,1471,Super Saver Facility fixed deposit Product Support,2021-04-21 00:00:00.000,2021-04-21 00:00:00.000,Product Support,Phone Banking
EDIVA,Springtorpe,Individual Personal Accident Plan,health insurance,1511,748,1805,Individual Personal Accident Plan health insurance Product Support,2021-06-16 00:00:00.000,2021-06-17 00:00:00.000,Product Support,Phone Banking
ARI,Dur,Ergo Home Insurance,home insurance,723,767,4610,Ergo Home Insurance home insurance Product Support,2021-06-15 00:00:00.000,2021-06-16 00:00:00.000,Product Support,Branch
ARI,Dur,Secure Personal Loan,Personal Loan,2411,767,1151,Secure Personal Loan Personal Loan Product Support,2021-06-15 00:00:00.000,2021-06-16 00:00:00.000,Product Support,Phone Banking
MAXY,Algeo,Regular Fixed Deposit,fixed deposit,1835,18,4245,Regular Fixed Deposit fixed deposit Product Support,2021-09-12 00:00:00.000,2021-09-12 00:00:00.000,Product Support,Phone Banking
RENELLE,Kareman,Private Car Insurance,motor insurance,2135,247,2768,Private Car Insurance motor insurance Enquiry,2021-06-11 00:00:00.000,2021-06-11 00:00:00.000,Enquiry,Phone Banking
RENELLE,Kareman,SavingsMax Account,savings account,1207,247,4664,SavingsMax Account savings account Product Support,2021-06-11 00:00:00.000,2021-06-11 00:00:00.000,Product Support,Net Banking
RENELLE,Kareman,Foreign Education Loan,educational loan,23,247,4410,Foreign Education Loan educational loan Complaint,2021-06-11 00:00:00.000,2021-06-11 00:00:00.000,Complaint,Phone Banking
SANSONE,Edinborough,Secure Personal Loan,Personal Loan,233,802,2531,Secure Personal Loan Personal Loan Complaint,2021-06-09 00:00:00.000,2021-06-10 00:00:00.000,Complaint,Phone Banking
SANSONE,Edinborough,SavingsMax Account,savings account,284,802,447,SavingsMax Account savings account Product Support,2021-06-09 00:00:00.000,2021-06-10 00:00:00.000,Product Support,Phone Banking
GILBERTINA,Blazey,National Life Cancer Care,life insurance,2627,644,2801,National Life Cancer Care life insurance Complaint,2021-06-08 00:00:00.000,2021-06-08 00:00:00.000,Complaint,Phone Banking
GILBERTINA,Blazey,National Home Loan,home loan,609,644,4839,National Home Loan home loan Product Support,2021-06-08 00:00:00.000,2021-06-08 00:00:00.000,Product Support,Branch
GILBERTINA,Blazey,Secure Personal Loan,Personal Loan,2450,644,1965,Secure Personal Loan Personal Loan Product Support,2021-06-08 00:00:00.000,2021-06-08 00:00:00.000,Product Support,Phone Banking
GILBERTINA,Blazey,Secure Personal Loan,Personal Loan,876,644,1965,Secure Personal Loan Personal Loan Complaint,2021-06-08 00:00:00.000,2021-06-08 00:00:00.000,Complaint,Branch
GILBERTINA,Blazey,Secure Personal Loan,Personal Loan,2516,644,1098,Secure Personal Loan Personal Loan Product Support,2021-06-08 00:00:00.000,2021-06-08 00:00:00.000,Product Support,Phone Banking
GILBERTINA,Blazey,Secure Personal Loan,Personal Loan,2127,644,1098,Secure Personal Loan Personal Loan Enquiry,2021-06-08 00:00:00.000,2021-06-08 00:00:00.000,Enquiry,Branch
CODI,Chiechio,Regular Fixed Deposit,fixed deposit,1020,26,4219,Regular Fixed Deposit fixed deposit Complaint,2021-10-21 00:00:00.000,2021-10-21 00:00:00.000,Complaint,Branch
PHILIP,Pierce,SavingsMax Account,savings account,2531,34,296,SavingsMax Account savings account Complaint,2021-06-05 00:00:00.000,2021-06-05 00:00:00.000,Complaint,Phone Banking
PHILIP,Pierce,SavingsMax Account,savings account,385,34,296,SavingsMax Account savings account Product Support,2021-06-05 00:00:00.000,2021-06-05 00:00:00.000,Product Support,Net Banking
PHILIP,Pierce,Individual Personal Accident Plan,health insurance,1557,34,202,Individual Personal Accident Plan health insurance Product Support,2021-06-05 00:00:00.000,2021-06-05 00:00:00.000,Product Support,Branch
PHILIP,Pierce,Individual Personal Accident Plan,health insurance,906,34,202,Individual Personal Accident Plan health insurance Enquiry,2021-06-05 00:00:00.000,2021-06-05 00:00:00.000,Enquiry,Branch
EV,Borges,Sweep In Facility,fixed deposit,445,28,1213,Sweep In Facility fixed deposit Complaint,2021-04-03 00:00:00.000,2021-04-03 00:00:00.000,Complaint,Net Banking
EV,Borges,Sweep In Facility,fixed deposit,280,28,1213,Sweep In Facility fixed deposit Product Support,2021-02-17 00:00:00.000,2021-02-17 00:00:00.000,Product Support,Net Banking
DALIS,Cromblehome,Ultima Current Account,current account,545,88,1695,SavingsMax Account current account Enquiry,2021-06-01 00:00:00.000,2021-06-01 00:00:00.000,Enquiry,Phone Banking
LEBBIE,Piwall,Private Car Insurance,motor insurance,926,126,4543,Private Car Insurance motor insurance Complaint,2021-06-01 00:00:00.000,2021-06-01 00:00:00.000,Complaint,Phone Banking
LEBBIE,Piwall,SavingsMax Account,savings account,262,126,647,SavingsMax Account savings account Complaint,2021-06-01 00:00:00.000,2021-06-01 00:00:00.000,Complaint,Net Banking
LEBBIE,Piwall,Private Car Insurance,motor insurance,1768,126,2117,Private Car Insurance motor insurance Product Support,2021-06-01 00:00:00.000,2021-06-01 00:00:00.000,Product Support,Net Banking
CANDI,Muschette,Foreign Education Loan,educational loan,2256,194,876,Foreign Education Loan educational loan Enquiry,2021-05-30 00:00:00.000,2021-05-30 00:00:00.000,Enquiry,Branch
CANDI,Muschette,Individual Personal Accident Plan,health insurance,589,194,3370,Individual Personal Accident Plan health insurance Complaint,2021-05-30 00:00:00.000,2021-05-30 00:00:00.000,Complaint,Net Banking
CANDI,Muschette,Individual Personal Accident Plan,health insurance,2791,194,607,Individual Personal Accident Plan health insurance Product Support,2021-05-30 00:00:00.000,2021-05-30 00:00:00.000,Product Support,Net Banking
CLEAVLAND,Fordham,National Home Loan,home loan,2812,846,4103,National Home Loan home loan Complaint,2021-05-30 00:00:00.000,2021-05-31 00:00:00.000,Complaint,Net Banking
CLEAVLAND,Fordham,National Home Loan,home loan,2389,846,4103,National Home Loan home loan Enquiry,2021-05-30 00:00:00.000,2021-05-31 00:00:00.000,Enquiry,Net Banking
CLEAVLAND,Fordham,National Home Loan,home loan,2067,846,4103,National Home Loan home loan Product Support,2021-05-30 00:00:00.000,2021-05-31 00:00:00.000,Product Support,Branch
LIBBIE,Jeffress,Super Saver Facility,fixed deposit,1939,35,2097,Super Saver Facility fixed deposit Product Support,2021-10-07 00:00:00.000,2021-10-07 00:00:00.000,Product Support,Net Banking
WOODY,Kerans,National Life Cancer Care,life insurance,2394,756,742,National Life Cancer Care life insurance Complaint,2021-05-30 00:00:00.000,2021-05-31 00:00:00.000,Complaint,Branch
TIEBOLD,Freeman,Super Saver Facility,fixed deposit,1968,37,2384,Super Saver Facility fixed deposit Enquiry,2021-01-25 00:00:00.000,2021-01-25 00:00:00.000,Enquiry,Branch
KATINA,Stollard,National Home Loan,home loan,2910,771,2103,National Home Loan home loan Product Support,2021-05-28 00:00:00.000,2021-05-29 00:00:00.000,Product Support,Branch
KATINA,Stollard,Foreign Education Loan,educational loan,1962,771,413,Foreign Education Loan educational loan Complaint,2021-05-28 00:00:00.000,2021-05-29 00:00:00.000,Complaint,Branch
ANGELITA,Farres,New Car Loan,car loan,806,288,500,New Car Loan car loan Enquiry,2021-05-26 00:00:00.000,2021-05-26 00:00:00.000,Enquiry,Phone Banking
BURLIE,Doni,Secure Personal Loan,Personal Loan,1661,329,4465,Secure Personal Loan Personal Loan Enquiry,2021-05-25 00:00:00.000,2021-05-25 00:00:00.000,Enquiry,Phone Banking
CARL,Dubery,New Car Loan,car loan,2299,487,4030,New Car Loan car loan Product Support,2021-05-25 00:00:00.000,2021-05-25 00:00:00.000,Product Support,Net Banking
PATRIZIUS,Briereton,Individual Personal Accident Plan,health insurance,2143,714,874,Individual Personal Accident Plan health insurance Enquiry,2021-05-24 00:00:00.000,2021-05-25 00:00:00.000,Enquiry,Net Banking
BURL,Dutch,Private Car Insurance,motor insurance,2651,510,36,Private Car Insurance motor insurance Product Support,2021-05-23 00:00:00.000,2021-05-23 00:00:00.000,Product Support,Phone Banking
SHANNEN,Callar,Private Car Insurance,motor insurance,2287,393,4088,Private Car Insurance motor insurance Complaint,2021-05-23 00:00:00.000,2021-05-23 00:00:00.000,Complaint,Net Banking
SHANNEN,Callar,Private Car Insurance,motor insurance,808,393,4088,Private Car Insurance motor insurance Product Support,2021-05-23 00:00:00.000,2021-05-23 00:00:00.000,Product Support,Net Banking
ODY,Craine,Ergo Home Insurance,home insurance,987,951,4049,Ergo Home Insurance home insurance Product Support,2021-05-20 00:00:00.000,2021-05-22 00:00:00.000,Product Support,Branch
CLIO,Keets,National Life Cancer Care,life insurance,1696,59,2550,National Life Cancer Care life insurance Enquiry,2021-05-20 00:00:00.000,2021-05-20 00:00:00.000,Enquiry,Net Banking
CLIO,Keets,National Life Cancer Care,life insurance,206,59,2550,National Life Cancer Care life insurance Product Support,2021-05-20 00:00:00.000,2021-05-20 00:00:00.000,Product Support,Phone Banking
REBEKA,Shurmore,National Home Loan,home loan,2789,527,3203,National Home Loan home loan Enquiry,2021-05-20 00:00:00.000,2021-05-20 00:00:00.000,Enquiry,Phone Banking
GIAN,Aberdein,National Life Cancer Care,life insurance,949,597,4436,National Life Cancer Care life insurance Complaint,2021-05-19 00:00:00.000,2021-05-19 00:00:00.000,Complaint,Net Banking
GIAN,Aberdein,National Life Cancer Care,life insurance,165,597,4436,National Life Cancer Care life insurance Enquiry,2021-05-19 00:00:00.000,2021-05-19 00:00:00.000,Enquiry,Branch
TARRA,Wilkinson,SavingsMax Account,savings account,1832,717,2178,SavingsMax Account savings account Complaint,2021-05-17 00:00:00.000,2021-05-18 00:00:00.000,Complaint,Phone Banking
NICOL,Salvage,National Home Loan,home loan,2148,670,2517,National Home Loan home loan Complaint,2021-05-16 00:00:00.000,2021-05-16 00:00:00.000,Complaint,Branch
CARMELITA,Dmitrienko,New Car Loan,car loan,1800,970,2430,New Car Loan car loan Complaint,2021-05-15 00:00:00.000,2021-05-17 00:00:00.000,Complaint,Branch
ALLSUN,Grinikhin,SavingsMax Account,savings account,1417,155,262,SavingsMax Account savings account Product Support,2021-05-13 00:00:00.000,2021-05-13 00:00:00.000,Product Support,Net Banking
LOTTI,Blanket,National Home Loan,home loan,2947,124,1996,National Home Loan home loan Enquiry,2021-05-12 00:00:00.000,2021-05-12 00:00:00.000,Enquiry,Net Banking
MICKY,McCool,Foreign Education Loan,educational loan,2785,934,3512,Foreign Education Loan educational loan Complaint,2021-05-10 00:00:00.000,2021-05-12 00:00:00.000,Complaint,Net Banking
MOSES,Jojic,Regular Fixed Deposit,fixed deposit,459,52,4324,Regular Fixed Deposit fixed deposit Product Support,2021-10-19 00:00:00.000,2021-10-19 00:00:00.000,Product Support,Branch
LURLINE,Cookney,National Home Loan,home loan,1176,513,1390,National Home Loan home loan Enquiry,2021-05-08 00:00:00.000,2021-05-08 00:00:00.000,Enquiry,Branch
MELISANDE,Bramford,SavingsMax Account,savings account,305,369,1739,SavingsMax Account savings account Product Support,2021-05-07 00:00:00.000,2021-05-07 00:00:00.000,Product Support,Phone Banking
MELISANDE,Bramford,Secure Personal Loan,Personal Loan,1175,369,3523,Secure Personal Loan Personal Loan Complaint,2021-05-07 00:00:00.000,2021-05-07 00:00:00.000,Complaint,Phone Banking
MELISANDE,Bramford,New Car Loan,car loan,1486,369,4087,New Car Loan car loan Enquiry,2021-05-07 00:00:00.000,2021-05-07 00:00:00.000,Enquiry,Net Banking
MELISANDE,Bramford,New Car Loan,car loan,88,369,4087,New Car Loan car loan Product Support,2021-05-07 00:00:00.000,2021-05-07 00:00:00.000,Product Support,Net Banking
MELISANDE,Bramford,Private Car Insurance,motor insurance,2347,369,4469,Private Car Insurance motor insurance Complaint,2021-05-07 00:00:00.000,2021-05-07 00:00:00.000,Complaint,Net Banking
MELISANDE,Bramford,Private Car Insurance,motor insurance,566,369,4469,Private Car Insurance motor insurance Product Support,2021-05-07 00:00:00.000,2021-05-07 00:00:00.000,Product Support,Phone Banking
MERRICK,Enderlein,SavingsMax Account,savings account,1889,36,2824,SavingsMax Account savings account Complaint,2021-05-06 00:00:00.000,2021-05-06 00:00:00.000,Complaint,Phone Banking
MERRICK,Enderlein,SavingsMax Account,savings account,1549,36,2824,SavingsMax Account savings account Product Support,2021-05-06 00:00:00.000,2021-05-06 00:00:00.000,Product Support,Net Banking
PAIGE,Hardey,Sweep In Facility,fixed deposit,1554,55,2106,Sweep In Facility fixed deposit Complaint,2021-03-06 00:00:00.000,2021-03-06 00:00:00.000,Complaint,Branch
ELYSE,Seekings,Secure Personal Loan,Personal Loan,2692,212,2497,Secure Personal Loan Personal Loan Complaint,2021-05-04 00:00:00.000,2021-05-04 00:00:00.000,Complaint,Net Banking
KATHLEEN,Bracken,Individual Personal Accident Plan,health insurance,1154,723,2533,Individual Personal Accident Plan health insurance Complaint,2021-05-04 00:00:00.000,2021-05-05 00:00:00.000,Complaint,Phone Banking
MISSY,Rawlings,Foreign Education Loan,educational loan,230,435,4445,Foreign Education Loan educational loan Enquiry,2021-05-04 00:00:00.000,2021-05-04 00:00:00.000,Enquiry,Phone Banking
MISSY,Rawlings,SavingsMax Account,savings account,2296,435,1706,SavingsMax Account savings account Product Support,2021-05-04 00:00:00.000,2021-05-04 00:00:00.000,Product Support,Net Banking
ATLANTE,Pilkington,National Life Cancer Care,life insurance,2845,330,1075,National Life Cancer Care life insurance Complaint,2021-05-01 00:00:00.000,2021-05-01 00:00:00.000,Complaint,Net Banking
ATLANTE,Pilkington,National Life Cancer Care,life insurance,1613,330,1075,National Life Cancer Care life insurance Enquiry,2021-05-01 00:00:00.000,2021-05-01 00:00:00.000,Enquiry,Phone Banking
ATLANTE,Pilkington,National Life Cancer Care,life insurance,1460,330,1075,National Life Cancer Care life insurance Product Support,2021-05-01 00:00:00.000,2021-05-01 00:00:00.000,Product Support,Phone Banking
ATLANTE,Pilkington,Ergo Home Insurance,home insurance,941,330,899,Ergo Home Insurance home insurance Product Support,2021-05-01 00:00:00.000,2021-05-01 00:00:00.000,Product Support,Phone Banking
